Animal ID,Length(cm),Developmental Stage,Sex,Vertebra,Region,Orientation,Spinous Process Length (mm),Right Transverse Process Length (mm),Left Transverse Process Length (mm),Average Transverse Process Length (mm),Sample #,Yield Strain,Yield Strength,Stiffness,Toughness
MNW16021,241,subadult,M,Ca2,Ca1,RC,39.42,102.78,105.76,104.27,4,0.1037,22.83546,366.50086,1.184018601
MNW16021,241,subadult,M,Ca2,Ca1,RC,39.42,102.78,105.76,104.27,5,0.08514,29.1204,784.50924,1.239655428
MNW16021,241,subadult,M,Ca6,Ca2,RC,18.8,79.43,80.01,79.72,1,0.10429,18.73221,309.56868,0.97679109
MNW16021,241,subadult,M,Ca6,Ca2,RC,18.8,79.43,80.01,79.72,2,0.13503,14.48586,201.36384,0.978012838
MNW16021,241,subadult,M,Ca6,Ca2,RC,18.8,79.43,80.01,79.72,3,0.13107,24.79278,303.66717,1.624794837
MNW16021,241,subadult,M,Ca6,Ca2,RC,18.8,79.43,80.01,79.72,4,0.14075,21.63874,238.80625,1.522826328
MNW16021,241,subadult,M,Ca6,Ca2,RC,18.8,79.43,80.01,79.72,5,0.15277,16.90129,178.28625,1.291005037
MEC15085,292,adult,F,T8,T,RC,63.45,56.03,59.1,57.565,1,0.03319,12.67134,596.858,0.210280887
MEC15085,292,adult,F,T8,T,RC,63.45,56.03,59.1,57.565,2,0.02892,20.97977,1009.686,0.303367474
MEC15085,292,adult,F,T8,T,RC,63.45,56.03,59.1,57.565,3,0.02257,11.71557,853.894,0.132210207
MEC15085,292,adult,F,T8,T,RC,63.45,56.03,59.1,57.565,4,0.03115,17.472,789.123,0.2721264
MEC15085,292,adult,F,T8,T,RC,63.45,56.03,59.1,57.565,5,0.04929,16.246,567.378,0.40038267
MEC15085,292,adult,F,L1,L,RC,46.72,127.04,131.59,129.315,1,0.03355,13.24372,558.142,0.222163403
MEC15085,292,adult,F,L1,L,RC,46.72,127.04,131.59,129.315,2,0.04002,16.75088,655.097,0.335185109
MEC15085,292,adult,F,L1,L,RC,46.72,127.04,131.59,129.315,3,0.03456,15.73388,582.164,0.271881446
MEC15085,292,adult,F,L1,L,RC,46.72,127.04,131.59,129.315,4,0.04691,13.825,426.694,0.324265375
MEC15085,292,adult,F,L1,L,RC,46.72,127.04,131.59,129.315,5,0.06845,28.18632,1064.278,0.964676802
MEC15085,292,adult,F,Ca2,Ca1,RC,33.15,120.38,124.43,122.405,1,0.0811,7.37878,131.233,0.299209529
MEC15085,292,adult,F,Ca2,Ca1,RC,33.15,120.38,124.43,122.405,2,0.07178,10.54771,275.783,0.378557312
MEC15085,292,adult,F,Ca2,Ca1,RC,33.15,120.38,124.43,122.405,3,0.08502,15.393,326.657,0.65435643
MEC15085,292,adult,F,Ca2,Ca1,RC,33.15,120.38,124.43,122.405,4,0.12212,5.978,69.283,0.36501668
MEC15085,292,adult,F,Ca2,Ca1,RC,33.15,120.38,124.43,122.405,5,0.05864,16.9898,356.535,0.498140936
MEC15085,292,adult,F,Ca6,Ca2,RC,24.93,103.09,101.11,102.1,1,0.12295,17.744443,320.169,1.090839633
MEC15085,292,adult,F,Ca6,Ca2,RC,24.93,103.09,101.11,102.1,2,0.07856,13.58669,306.494,0.533685183
MEC15085,292,adult,F,Ca6,Ca2,RC,24.93,103.09,101.11,102.1,3,0.09114,18.48218,403.387,0.842232943
MEC15085,292,adult,F,Ca6,Ca2,RC,24.93,103.09,101.11,102.1,4,0.0486,6.99727,206.423,0.170033661
MEC15085,292,adult,F,Ca6,Ca2,RC,24.93,103.09,101.11,102.1,5,0.05576,10.42422,295.336,0.290627254
MNW16016,310,adult,M,T8,T,RC,61.63,68.26,60.17,64.215,1,0.15575,10.2501,115.8581,0.798226538
MNW16016,310,adult,M,T8,T,RC,61.63,68.26,60.17,64.215,2,0.08927,6.04099,98.1679,0.269639589
MNW16016,310,adult,M,T8,T,RC,61.63,68.26,60.17,64.215,3,0.09829,16.449,292.0944,0.808386105
MNW16016,310,adult,M,T8,T,RC,61.63,68.26,60.17,64.215,4,0.11971,16.005,230.1968,0.957979275
MNW16016,310,adult,M,T8,T,RC,61.63,68.26,60.17,64.215,5,0.11915,16.7834,209.3566,0.999871055
MNW16016,310,adult,M,L1,L,RC,48.45,120.99,127.87,124.43,1,,,308.38205,
MNW16016,310,adult,M,L1,L,RC,48.45,120.99,127.87,124.43,2,0.12044,18.1864,272.2218,1.095185008
MNW16016,310,adult,M,L1,L,RC,48.45,120.99,127.87,124.43,3,0.13841,15.0729,232.6346,1.043120045
MNW16016,310,adult,M,L1,L,RC,48.45,120.99,127.87,124.43,4,0.09649,17.468,325.2316,0.84274366
MNW16016,310,adult,M,L1,L,RC,48.45,120.99,127.87,124.43,5,0.12148,15.9196,282.5928,0.966956504
MNW16016,310,adult,M,Ca2,Ca1,RC,29.68,146.33,147.01,146.67,1,0.12422,18.4029,286.9748,1.143004119
MNW16016,310,adult,M,Ca2,Ca1,RC,29.68,146.33,147.01,146.67,2,0.66156,20.3751,242.2249,6.739675578
MNW16016,310,adult,M,Ca2,Ca1,RC,29.68,146.33,147.01,146.67,3,0.1073,19.67085,302.7568,1.055341103
MNW16016,310,adult,M,Ca2,Ca1,RC,29.68,146.33,147.01,146.67,4,0.1259,22.8158,329.0365,1.43625461
MNW16016,310,adult,M,Ca2,Ca1,RC,29.68,146.33,147.01,146.67,5,0.20653,25.2599,237.9591,2.608463574
MNW16016,310,adult,M,Ca6,Ca2,RC,20.28,119.44,116.18,117.81,1,0.11093,16.7131,275.4329,0.926992092
MNW16016,310,adult,M,Ca6,Ca2,RC,20.28,119.44,116.18,117.81,2,0.11526,12.4305,195.883,0.716369715
MNW16016,310,adult,M,Ca6,Ca2,RC,20.28,119.44,116.18,117.81,3,0.09382,21.4445,347.3044,1.005961495
MNW16016,310,adult,M,Ca6,Ca2,RC,20.28,119.44,116.18,117.81,4,0.12663,16.9283,211.6712,1.071815315
MNW16016,310,adult,M,Ca6,Ca2,RC,20.28,119.44,116.18,117.81,5,0.11983,14.8607,237.4976,0.890378841
MSE16016,308,adult,M,T8,T,RC,51.56,76.04,77.65,76.845,1,0.13453,28.35898,480.53805,1.90756679
MSE16016,308,adult,M,T8,T,RC,51.56,76.04,77.65,76.845,2,0.15558,17.06817,273.97658,1.327732944
MSE16016,308,adult,M,T8,T,RC,51.56,76.04,77.65,76.845,3,0.12854,29.92133,454.25965,1.923043879
MSE16016,308,adult,M,T8,T,RC,51.56,76.04,77.65,76.845,4,0.09716,25.99792,491.06062,1.262978954
MSE16016,308,adult,M,T8,T,RC,51.56,76.04,77.65,76.845,5,0.10587,24.54225,406.66935,1.299144004
MSE16016,308,adult,M,L1,L,RC,61.04,150.35,156.53,153.44,1,0.11735,17.33025,207.06652,1.016852419
MSE16016,308,adult,M,L1,L,RC,61.04,150.35,156.53,153.44,2,,,285.59553,
MSE16016,308,adult,M,L1,L,RC,61.04,150.35,156.53,153.44,3,0.26796,22.2235,260.01474,2.97750453
MSE16016,308,adult,M,L1,L,RC,61.04,150.35,156.53,153.44,4,0.0915,23.8357,474.42576,1.090483275
MSE16016,308,adult,M,L1,L,RC,61.04,150.35,156.53,153.44,5,0.09995,21.89695,396.22769,1.094300076
MSE16016,308,adult,M,Ca2,Ca1,RC,44.21,152.33,143.69,148.01,1,0.15854,23.39364,261.89303,1.854413843
MSE16016,308,adult,M,Ca2,Ca1,RC,44.21,152.33,143.69,148.01,2,0.12126,16.12406,233.04369,0.977601758
MSE16016,308,adult,M,Ca2,Ca1,RC,44.21,152.33,143.69,148.01,3,0.13008,23.26923,330.15314,1.513430719
MSE16016,308,adult,M,Ca2,Ca1,RC,44.21,152.33,143.69,148.01,4,0.13014,20.47344,303.28327,1.332206741
MSE16016,308,adult,M,Ca2,Ca1,RC,44.21,152.33,143.69,148.01,5,0.12822,19.04707,278.47285,1.221107658
MSE16016,308,adult,M,Ca6,Ca2,RC,22.19,99.08,83.87,91.475,1,0.09963,18.75716,373.54119,0.934387925
MSE16016,308,adult,M,Ca6,Ca2,RC,22.19,99.08,83.87,91.475,2,0.08573,20.20556,495.28547,0.866111329
MSE16016,308,adult,M,Ca6,Ca2,RC,22.19,99.08,83.87,91.475,3,0.12365,13.796666,245.10104,0.852978875
MSE16016,308,adult,M,Ca6,Ca2,RC,22.19,99.08,83.87,91.475,4,0.09106,15.20131,320.46732,0.692115644
MSE16016,308,adult,M,Ca6,Ca2,RC,22.19,99.08,83.87,91.475,5,0.09766,15.94354,320.90036,0.778523058
MSW16020,287,adult,M,T8,T,RC,66.17,33.91,32.55,33.23,1,0.12073,12.33805,208.22389,0.744786388
MSW16020,287,adult,M,T8,T,RC,66.17,33.91,32.55,33.23,2,0.1085,14.45023,210.93475,0.783924978
MSW16020,287,adult,M,T8,T,RC,66.17,33.91,32.55,33.23,3,0.17244,18.92752,225.77661,1.631930774
MSW16020,287,adult,M,T8,T,RC,66.17,33.91,32.55,33.23,4,0.08721,11.35175,226.6253,0.494993059
MSW16020,287,adult,M,T8,T,RC,66.17,33.91,32.55,33.23,5,0.08679,19.56185,325.20556,0.848886481
MSW16020,287,adult,M,L1,L,RC,52.55,82,91.75,86.875,1,0.10377,15.5111,248.05461,0.804793424
MSW16020,287,adult,M,L1,L,RC,52.55,82,91.75,86.875,2,0.08742,18.71586,415.82054,0.818070241
MSW16020,287,adult,M,L1,L,RC,52.55,82,91.75,86.875,3,0.12345,26.30336,430.30157,1.623574896
MSW16020,287,adult,M,L1,L,RC,52.55,82,91.75,86.875,4,0.15662,14.75492,194.66445,1.155457785
MSW16020,287,adult,M,L1,L,RC,52.55,82,91.75,86.875,5,0.1025,18.72297,295.12669,0.959552213
MSW16020,287,adult,M,Ca2,Ca1,RC,42.49,131.15,130,130.575,1,,,659.24123,
MSW16020,287,adult,M,Ca2,Ca1,RC,42.49,131.15,130,130.575,2,0.14153,19.88888,309.19815,1.407436593
MSW16020,287,adult,M,Ca2,Ca1,RC,42.49,131.15,130,130.575,3,0.10665,20.89266,356.02017,1.114101095
MSW16020,287,adult,M,Ca2,Ca1,RC,42.49,131.15,130,130.575,4,0.1027,28.30439,502.99649,1.453430427
MSW16020,287,adult,M,Ca2,Ca1,RC,42.49,131.15,130,130.575,5,0.09373,28.03818,527.11301,1.314009306
MSW16020,287,adult,M,Ca6,Ca2,RC,15.25,95.5,94.75,95.125,1,0.16069,14.64674,174.48293,1.176792325
MSW16020,287,adult,M,Ca6,Ca2,RC,15.25,95.5,94.75,95.125,2,0.11771,17.57722,301.71872,1.034507283
MSW16020,287,adult,M,Ca6,Ca2,RC,15.25,95.5,94.75,95.125,3,0.12935,17.74813,203.63531,1.147860308
MSW16020,287,adult,M,Ca6,Ca2,RC,15.25,95.5,94.75,95.125,4,0.17909,18.75182,170.50642,1.679131722
MSW16020,287,adult,M,Ca6,Ca2,RC,15.25,95.5,94.75,95.125,5,0.10644,21.13248,352.55044,1.124670586
MSW15072,308,adult,F,T8,T,RC,,,,,1,0.0543,23.94311,813.33497,0.650055437
MSW15072,308,adult,F,T8,T,RC,,,,,2,0.09543,22.61179,453.75167,1.07892156
MSW15072,308,adult,F,T8,T,RC,,,,,3,0.07113,23.68701,506.0793,0.842428511
MSW15072,308,adult,F,T8,T,RC,,,,,4,0.09789,22.63273,449.83977,1.10775897
MSW15072,308,adult,F,T8,T,RC,,,,,5,0.07008,26.17167,893.63782,0.917055317
MSW15072,308,adult,F,L1,L,RC,,,,,2,0.10294,23.67974,393.94206,1.218796218
MSW15072,308,adult,F,L1,L,RC,,,,,3,0.15489,22.06903,214.04915,1.709136028
MSW15072,308,adult,F,L1,L,RC,,,,,4,0.115,23.50641,369.90166,1.351618575
MSW15072,308,adult,F,L1,L,RC,,,,,5,0.08437,19.87404,438.9444,0.838386377
MSW15072,308,adult,F,Ca2,Ca1,RC,,,,,1,0.25614,16.47433,118.56993,2.109867443
MSW15072,308,adult,F,Ca2,Ca1,RC,,,,,2,,,281.41918,
MSW15072,308,adult,F,Ca2,Ca1,RC,,,,,3,0.24732,23.95404,196.87971,2.962156586
MSW15072,308,adult,F,Ca2,Ca1,RC,,,,,4,0.23798,25.46414,206.80934,3.029978019
MSW15072,308,adult,F,Ca2,Ca1,RC,,,,,5,0.17062,23.83002,267.65277,2.032939006
MSW15072,308,adult,F,Ca6,Ca2,RC,,,,,1,0.12373,21.98454,376.8803,1.360073567
MSW15072,308,adult,F,Ca6,Ca2,RC,,,,,2,0.10548,13.56858,197.95379,0.715606909
MSW15072,308,adult,F,Ca6,Ca2,RC,,,,,3,0.16359,16.74635,167.55482,1.369767698
MSW15072,308,adult,F,Ca6,Ca2,RC,,,,,4,0.16422,16.59215,191.98776,1.362381437
MSW15072,308,adult,F,Ca6,Ca2,RC,,,,,5,0.10916,18.38498,312.84773,1.003452208
MNW16017,98,perinatal,M,T9,T,DV,21.33,14.15,13,13.757,1,0.21411,4.42145,7.68,0.47333833
MNW16017,98,perinatal,M,L2,L,DV,,29.7,33.04,31.37,1,0.1449,3.5276,39.184,0.25557462
MNW16017,98,perinatal,M,Ca3,Ca1,DV,11.89,28.16,31,29.58,1,0.1244,4.0416,48.568,0.25138752
MNW16017,98,perinatal,M,Ca7,Ca2,DV,7.6,29.46,27.86,28.66,1,0.16945,4.3052,52.57,0.36475807
MNW16030,,perinatal,M,T9,T,DV,26.63,13.95,19.26,16.605,1,0.0935,7.27095,151.13479,0.339916913
MNW16030,,perinatal,M,Ca3,Ca1,DV,19.02,31.25,20.67,25.96,1,0.32045,7.71867,77.30805,1.236723901
MNW16030,,perinatal,M,Ca7,Ca2,DV,8.54,24.88,27.67,26.275,1,0.19805,4.40261,37.24634,0.435968455
MSW16058,119,perinatal,M,T9,T,DV,27.29,17.99,20.94,19.465,1,0.12409,5.3496,79.29173,0.331915932
MSW16058,119,perinatal,M,L2,L,DV,23.36,38.28,D,38.28,1,0.14109,4.92721,73.06145,0.347590029
MSW16058,119,perinatal,M,Ca3,Ca1,DV,20.51,33.64,31.72,32.68,1,0.27615,5.6051,40.04846,0.773924183
MSW16058,119,perinatal,M,Ca7,Ca2,DV,9.13,36.93,25.76,31.345,1,0.13788,4.51218,54.53538,0.311069689
MEC16038,113,perinatal,F,T9,T,DV,32.16,17.63,18.3,17.965,1,0.15443,5.36649,50.31001,0.414373525
MEC16038,113,perinatal,F,L2,L,DV,20.91,39.47,D,39.47,1,0.12024,3.03955,42.27957,0.182737746
MEC16038,113,perinatal,F,Ca3,Ca1,DV,23.66,41.57,43.53,42.55,1,0.09314,3.60026,73.60892,0.167664108
MEC16038,113,perinatal,F,Ca7,Ca2,DV,17.22,40.91,33.5,37.205,1,0.08925,4.35189,73.07392,0.194203091
MEC16048,130,perinatal,F,T9,T,DV,23.15,18.47,16.38,17.425,1,0.1041,2.69539,46.00488,0.14029505
MEC16048,130,perinatal,F,L2,L,DV,22.85,42.1,38.32,40.21,1,0.17155,3.05815,45.64082,0.262312816
MEC16048,130,perinatal,F,Ca3,Ca1,DV,14.01,31.97,25.28,28.625,1,0.17449,3.35868,30.7706,0.293028037
MEC16048,130,perinatal,F,Ca7,Ca2,DV,15.52,37,26.95,31.975,1,0.11209,2.9182,27.03068,0.163550519
MSW16028,192,calf,F,T9,T,DV,48.46,25.38,24.68,25.03,1,0.12622,20.95739,300.937,1.322620883
MSW16028,192,calf,F,T9,T,DV,48.46,25.38,24.68,25.03,2,0.09905,17.28467,290.18,0.856023282
MSW16028,192,calf,F,T9,T,DV,48.46,25.38,24.68,25.03,3,0.09488,12.58939,238.413,0.597240662
MSW16028,192,calf,F,T9,T,DV,48.46,25.38,24.68,25.03,4,0.09525,18.9059,300.792,0.900393488
MSW16028,192,calf,F,T9,T,DV,48.46,25.38,24.68,25.03,5,0.13277,13.83569,177.783,0.918482281
MSW16028,192,calf,F,L2,L,DV,35.72,89.5,83,86.25,1,0.08857,10.58128,174.44725,0.468591985
MSW16028,192,calf,F,L2,L,DV,35.72,89.5,83,86.25,2,0.12144,16.52031,282.39171,1.003113223
MSW16028,192,calf,F,L2,L,DV,35.72,89.5,83,86.25,3,0.15107,13.1191,206.87354,0.990951219
MSW16028,192,calf,F,L2,L,DV,35.72,89.5,83,86.25,4,0.1126,7.63587,143.18495,0.429899481
MSW16028,192,calf,F,L2,L,DV,35.72,89.5,83,86.25,5,0.10558,13.85825,245.34375,0.731577018
MSW16028,192,calf,F,Ca3,Ca1,DV,34.13,88.5,89.25,88.875,1,0.12349,2.56268,48.593,0.158232677
MSW16028,192,calf,F,Ca3,Ca1,DV,34.13,88.5,89.25,88.875,2,0.15127,3.77736,45.704,0.285700624
MSW16028,192,calf,F,Ca3,Ca1,DV,34.13,88.5,89.25,88.875,3,0.61288,7.20932,78.497,2.209224021
MSW16028,192,calf,F,Ca7,Ca2,DV,18.27,58.5,40.96 D,58.5,1,0.16659,11.94999,119.829,0.995374417
MSW16028,192,calf,F,Ca7,Ca2,DV,18.27,58.5,40.96 D,58.5,2,0.20753,12.55312,130.557,1.302574497
MSW16028,192,calf,F,Ca7,Ca2,DV,18.27,58.5,40.96 D,58.5,3,0.21794,8.6189,84.826,0.939201533
MSW16028,192,calf,F,Ca7,Ca2,DV,18.27,58.5,40.96 D,58.5,4,0.1661,10.37875,105.569,0.861955188
MSW16028,192,calf,F,Ca7,Ca2,DV,18.27,58.5,40.96 D,58.5,5,0.13599,8.8386,108.606,0.600980607
SWFTM1603b,219,calf,M,T9,T,DV,66.56,45.54,46.3,45.92,1,0.25209,6.24078,53.24234,0.786619115
SWFTM1603b,219,calf,M,T9,T,DV,66.56,45.54,46.3,45.92,2,0.10468,7.09524,106.92364,0.371364862
SWFTM1603b,219,calf,M,T9,T,DV,66.56,45.54,46.3,45.92,3,0.08421,5.51738,118.84812,0.232309285
SWFTM1603b,219,calf,M,T9,T,DV,66.56,45.54,46.3,45.92,4,0.1149,4.8416,64.47056,0.27814992
SWFTM1603b,219,calf,M,T9,T,DV,66.56,45.54,46.3,45.92,5,0.08679,4.47454,72.6902,0.194172663
SWFTM1603b,219,calf,M,L2,L,DV,42.09,96.16,111.39,103.775,1,0.17078,3.11712,36.59482,0.266170877
SWFTM1603b,219,calf,M,L2,L,DV,42.09,96.16,111.39,103.775,2,0.12849,5.09843,61.8826,0.327548635
SWFTM1603b,219,calf,M,L2,L,DV,42.09,96.16,111.39,103.775,3,0.09705,4.41248,73.20975,0.214115592
SWFTM1603b,219,calf,M,L2,L,DV,42.09,96.16,111.39,103.775,4,0.14474,4.49546,49.89264,0.32533644
SWFTM1603b,219,calf,M,L2,L,DV,42.09,96.16,111.39,103.775,5,0.18964,3.97119,37.45656,0.376548236
SWFTM1603b,219,calf,M,Ca3,Ca1,DV,30.81,92.25,91.29,91.77,1,0.23584,10.53379,94.13674,1.242144517
SWFTM1603b,219,calf,M,Ca3,Ca1,DV,30.81,92.25,91.29,91.77,2,0.0822,7.21035,149.09683,0.296345385
SWFTM1603b,219,calf,M,Ca3,Ca1,DV,30.81,92.25,91.29,91.77,3,0.13944,8.31717,125.9043,0.579873092
SWFTM1603b,219,calf,M,Ca3,Ca1,DV,30.81,92.25,91.29,91.77,4,0.11045,5.38975,74.77576,0.297648944
SWFTM1603b,219,calf,M,Ca3,Ca1,DV,30.81,92.25,91.29,91.77,5,0.10702,4.9903,73.27822,0.267030953
SWFTM1603b,219,calf,M,Ca7,Ca2,DV,16.52,77.07,79.69,78.38,1,0.12394,8.58762,115.8176,0.532174811
SWFTM1603b,219,calf,M,Ca7,Ca2,DV,16.52,77.07,79.69,78.38,2,0.11789,9.70765,142.0231,0.572217429
SWFTM1603b,219,calf,M,Ca7,Ca2,DV,16.52,77.07,79.69,78.38,3,0.21343,12.51031,148.15899,1.335037732
SWFTM1603b,219,calf,M,Ca7,Ca2,DV,16.52,77.07,79.69,78.38,4,0.07661,7.52137,139.42639,0.288106078
SWFTM1603b,219,calf,M,Ca7,Ca2,DV,16.52,77.07,79.69,78.38,5,0.09574,9.0297,155.88301,0.432251739
MNW16019,206,calf,M,T9,T,DV,31.41,46.24,50.08,48.16,1,0.05827,1.48189,29.86552,0.043174865
MNW16019,206,calf,M,T9,T,DV,31.41,46.24,50.08,48.16,2,0.09543,3.08217,46.28648,0.147065742
MNW16019,206,calf,M,T9,T,DV,31.41,46.24,50.08,48.16,3,0.17079,6.37081,60.79982,0.54403532
MNW16019,206,calf,M,T9,T,DV,31.41,46.24,50.08,48.16,4,0.13713,4.44776,55.04219,0.304960664
MNW16019,206,calf,M,T9,T,DV,31.41,46.24,50.08,48.16,5,0.17548,4.06502,32.5612,0.356664855
MNW16019,206,calf,M,L2,L,DV,35.91,80.17,84.96,82.565,1,0.14623,5.88263,53.75444,0.430108492
MNW16019,206,calf,M,L2,L,DV,35.91,80.17,84.96,82.565,2,0.10649,7.35174,126.58172,0.391443396
MNW16019,206,calf,M,L2,L,DV,35.91,80.17,84.96,82.565,3,0.15734,5.89776,69.40196,0.463976779
MNW16019,206,calf,M,L2,L,DV,35.91,80.17,84.96,82.565,4,0.1229,5.27922,69.2533,0.324408069
MNW16019,206,calf,M,L2,L,DV,35.91,80.17,84.96,82.565,5,0.14367,5.38011,60.37546,0.386480202
MNW16019,206,calf,M,Ca3,Ca1,DV,10.38,73.55,76.38,74.965,1,0.12717,9.2821,126.34223,0.590202329
MNW16019,206,calf,M,Ca3,Ca1,DV,10.38,73.55,76.38,74.965,2,0.14884,14.56429,196.1682,1.083874462
MNW16019,206,calf,M,Ca3,Ca1,DV,10.38,73.55,76.38,74.965,3,0.19926,12.95685,159.08709,1.290890966
MNW16019,206,calf,M,Ca3,Ca1,DV,10.38,73.55,76.38,74.965,4,0.13666,10.10119,133.88835,0.690214313
MNW16019,206,calf,M,Ca3,Ca1,DV,10.38,73.55,76.38,74.965,5,0.16171,12.32062,165.34975,0.99618373
MNW16019,206,calf,M,Ca7,Ca2,DV,6.74,71.61,74.09,72.85,1,0.11747,7.10964,102.65134,0.417584705
MNW16019,206,calf,M,Ca7,Ca2,DV,6.74,71.61,74.09,72.85,2,0.16268,6.00062,67.1401,0.488090431
MNW16019,206,calf,M,Ca7,Ca2,DV,6.74,71.61,74.09,72.85,3,0.16438,7.62553,76.06323,0.626742311
MNW16019,206,calf,M,Ca7,Ca2,DV,6.74,71.61,74.09,72.85,4,0.12875,7.22703,113.09309,0.465240056
MNW16019,206,calf,M,Ca7,Ca2,DV,6.74,71.61,74.09,72.85,5,0.13974,8.17141,104.03093,0.570936417
MNW16014,209,calf,F,T9,T,DV,55.82,35.35,34.61,34.98,1,0.11295,4.33016,53.78972,0.244545786
MNW16014,209,calf,F,T9,T,DV,55.82,35.35,34.61,34.98,2,0.09512,4.81137,82.59428,0.228828757
MNW16014,209,calf,F,T9,T,DV,55.82,35.35,34.61,34.98,3,0.13098,4.46332,90.05311,0.292302827
MNW16014,209,calf,F,T9,T,DV,55.82,35.35,34.61,34.98,4,0.08111,8.89441,166.99779,0.360712798
MNW16014,209,calf,F,T9,T,DV,55.82,35.35,34.61,34.98,5,0.15935,4.46505,49.88287,0.355752859
MNW16014,209,calf,F,L2,L,DV,51.74,84.77,83.95,84.36,1,0.08397,2.26056,35.44798,0.094909612
MNW16014,209,calf,F,L2,L,DV,51.74,84.77,83.95,84.36,2,0.11606,5.62119,84.40707,0.326197656
MNW16014,209,calf,F,L2,L,DV,51.74,84.77,83.95,84.36,3,0.09502,6.27444,106.16369,0.298098644
MNW16014,209,calf,F,L2,L,DV,51.74,84.77,83.95,84.36,4,0.09188,6.66169,120.46951,0.306038039
MNW16014,209,calf,F,L2,L,DV,51.74,84.77,83.95,84.36,5,0.08054,6.6549,131.94052,0.267992823
MNW16014,209,calf,F,Ca7,Ca2,DV,29.76,63.41,59.59,61.5,1,0.12681,12.36289,172.73881,0.78386904
MNW16014,209,calf,F,Ca7,Ca2,DV,29.76,63.41,59.59,61.5,2,0.07696,5.89775,87.6105,0.22694542
MNW16014,209,calf,F,Ca7,Ca2,DV,29.76,63.41,59.59,61.5,3,0.16945,10.38938,96.03912,0.880240221
MNW16014,209,calf,F,Ca7,Ca2,DV,29.76,63.41,59.59,61.5,4,0.13292,10.85913,117.70152,0.72169778
MNW16014,209,calf,F,Ca7,Ca2,DV,29.76,63.41,59.59,61.5,5,0.1591,7.96614,108.71772,0.633706437
MSW16023,185,calf,F,T9,T,DV,21.77,23.7,21.67,22.685,1,0.11414,2.54282,35.60721,0.145118737
MSW16023,185,calf,F,T9,T,DV,21.77,23.7,21.67,22.685,2,0.12664,2.69789,32.92303,0.170830395
MSW16023,185,calf,F,T9,T,DV,21.77,23.7,21.67,22.685,3,0.09225,2.16103,38.04929,0.099677509
MSW16023,185,calf,F,T9,T,DV,21.77,23.7,21.67,22.685,4,0.09019,2.74588,44.23471,0.123825459
MSW16023,185,calf,F,T9,T,DV,21.77,23.7,21.67,22.685,5,0.13703,3.99929,52.1521,0.274011354
MSW16023,185,calf,F,L2,L,DV,17.11,80.41,67.75,74.08,1,0.12231,3.70636,57.78476,0.226662446
MSW16023,185,calf,F,L2,L,DV,17.11,80.41,67.75,74.08,2,0.27781,3.53567,19.75502,0.491122241
MSW16023,185,calf,F,L2,L,DV,17.11,80.41,67.75,74.08,3,0.17533,2.01684,14.93276,0.176806279
MSW16023,185,calf,F,L2,L,DV,17.11,80.41,67.75,74.08,4,0.12022,4.48477,58.8099,0.269579525
MSW16023,185,calf,F,L2,L,DV,17.11,80.41,67.75,74.08,5,0.16162,4.7951,54.04721,0.387492031
MSW16023,185,calf,F,Ca3,Ca1,DV,26.15,62.61,65.96,64.285,1,0.12725,11.38546,152.70605,0.724399893
MSW16023,185,calf,F,Ca3,Ca1,DV,26.15,62.61,65.96,64.285,2,0.217,12.72993,110.07849,1.381197405
MSW16023,185,calf,F,Ca3,Ca1,DV,26.15,62.61,65.96,64.285,3,0.09933,10.93329,236.64579,0.543001848
MSW16023,185,calf,F,Ca3,Ca1,DV,26.15,62.61,65.96,64.285,4,0.10855,12.83242,193.09682,0.696479596
MSW16023,185,calf,F,Ca3,Ca1,DV,26.15,62.61,65.96,64.285,5,0.08996,5.03252,90.36104,0.22636275
MSW16023,185,calf,F,Ca7,Ca2,DV,12.85,41.94,51.53,46.735,1,0.09825,5.80438,92.22616,0.285140168
MSW16023,185,calf,F,Ca7,Ca2,DV,12.85,41.94,51.53,46.735,2,0.17907,9.54607,121.52897,0.854707377
MSW16023,185,calf,F,Ca7,Ca2,DV,12.85,41.94,51.53,46.735,3,0.17259,8.00291,78.21804,0.690611118
MSW16023,185,calf,F,Ca7,Ca2,DV,12.85,41.94,51.53,46.735,4,0.10053,9.97213,194.75864,0.501249114
MSW16023,185,calf,F,Ca7,Ca2,DV,12.85,41.94,51.53,46.735,5,0.16787,10.39885,84.1012,0.872827475
MEC16019,250,subadult,F,T9,T,DV,61.49,30,30.86,30.43,1,0.3656,7.31606,37.72265,1.337375768
MEC16019,250,subadult,F,T9,T,DV,61.49,30,30.86,30.43,2,0.12693,13.07066,152.01556,0.829529437
MEC16019,250,subadult,F,T9,T,DV,61.49,30,30.86,30.43,3,0.18593,18.0064,233.88375,1.673964976
MEC16019,250,subadult,F,T9,T,DV,61.49,30,30.86,30.43,4,0.10362,14.88117,261.12279,0.770993418
MEC16019,250,subadult,F,T9,T,DV,61.49,30,30.86,30.43,5,0.13165,10.35254,125.83891,0.681455946
MEC16019,250,subadult,F,L2,L,DV,45.62,94.74,98.91,96.825,1,0.13098,8.87789,109.6178,0.581413016
MEC16019,250,subadult,F,L2,L,DV,45.62,94.74,98.91,96.825,2,0.11512,13.48775,196.97652,0.77635489
MEC16019,250,subadult,F,L2,L,DV,45.62,94.74,98.91,96.825,3,0.13339,5.60024,55.75322,0.373508007
